Nu_in,,,,,,,,,,
Ion/Neutral,H,He,N,O,CO,N2,O2,CO2,,
H+,R,10.6,26.1,R,35.6,33.6,32,41.4,,
He+,4.71,R,11.9,10.1,16.9,16,15.3,20,,
C+,1.69,1.71,5.73,4.94,8.74,8.26,8.01,10.7,,
N+,1.45,1.49,R,4.42,7.9,7.47,7.25,9.73,,
O+,R,1.32,4.62,R,7.22,6.82,6.64,8.95,,
CO+,0.74,0.79,2.95,2.58,R,4.24,4.49,6.18,,
N2+,0.74,0.79,2.95,2.58,4.84,R,4.49,6.18,,
NO+,0.69,0.74,2.79,2.44,4.59,4.34,4.27,5.89,,
O2+,0.65,0.7,2.64,2.31,4.37,4.13,R,5.63,,
CO2+,0.47,0.51,2,1.76,3.4,3.22,3.18,R,,
1.00E-16,,,,,,,,,,
,,,,,,,,,,
Resonant Nu_in,,,,,,,,,,
Ion,Neutral,Temp,Coef1,Tn Frac,Ti Frac,Coef2,,,,
H+,H,50,2.65E-16,0.5,0.5,0.083,,,,
He+,He,50,8.73E-17,0.5,0.5,0.093,,,,
N+,Neutral,275,3.83E-17,0.5,0.5,0.063,,,,
O+,O,235,3.67E-17,0.5,0.5,0.064,,,,
N2+,N2,170,5.14E-17,0.5,0.5,0.069,,,,
O2+,O2,800,2.59E-17,0.5,0.5,0.073,,,,
H+,O,300,6.61E-17,0,1,0.047,,,,
O+,H,300,4.63E-18,1,0.0625,0,,,,
CO+,CO,525,3.42E-17,0.5,0.5,0.085,,,,
CO2+,CO2,850,2.85E-17,0.5,0.5,0.083,,,,
,,,,,,,,,,
Nu_en,Coef1 * (A + B*Te + C*sqrt(Te)) [*Te] [*sqrt(Te)],,,,[or Coeff1 * (A+B|D-Te|^E)],,,,,
Neutral,Coef1,A,B*Te, C*sqrt(Te),D,E,times Te?,times sqrt(Te)?,,
N2,2.33E-17,1,-1.21E-04,0,0,0,1,0,,
O2,1.82E-16,1,0,3.60E-02,0,0,0,1,,
O,8.90E-17,1,5.70E-04,0,0,0,0,1,,
He,4.60E-16,0,0,0,0,0,0,1,,
H,4.50E-15,1,-1.35E-04,0,0,0,0,1,,
CO,2.34E-17,165,1,0,0,0,0,0,,
CO2,3.68E-14,1,4.10E-11,0,4500,2.93,0,0,,
,,,,,,,,,,
,,,,,,,,,,
Bst for ion-ion interactions,,,Nu_st = Bst * Nt / Tt^3/2,,,,,,,
s/t,H+,He+,C+,N+,O+,CO+,N2+,NO+,O2+,CO2+
H+,0.9,1.14,1.22,1.23,1.23,1.25,1.25,1.25,1.25,1.26
He+,0.28,0.45,0.55,0.56,0.57,0.59,0.59,0.6,0.6,0.6
C+,0.102,0.18,0.26,0.27,0.28,0.31,0.31,0.31,0.31,0.32
N+,0.088,0.16,0.23,0.24,0.25,0.28,0.28,0.28,0.28,0.3
O+,0.077,0.14,0.21,0.22,0.22,0.25,0.25,0.26,0.26,0.27
CO+,0.045,0.085,0.13,0.14,0.15,0.17,0.17,0.17,0.18,0.19
N2+,0.045,0.085,0.13,0.14,0.15,0.17,0.17,0.17,0.18,0.19
NO+,0.042,0.08,0.12,0.13,0.14,0.16,0.16,0.16,0.17,0.18
O2+,0.039,0.075,0.12,0.12,0.13,0.15,0.15,0.16,0.16,0.17
CO2+,0.029,0.055,0.09,0.09,0.1,0.12,0.12,0.12,0.12,0.14
1.00E-06,,,,,,,,,,